CIF file,Atom CIF file,Total Energy (eV),Dopant Energy (eV),CO2 Slab Energy,HOMO (eV),LUMO (eV),Fermi Level (eV),Band Gap (eV),Work Function (eV),Chemical Potential (eV),Entropy (eV/K),Free Energy (eV),Local Magnetic Moments,Total Magnetic Moment,Pristine Energy (eV),Fe Atom Energy (eV)
Fe_dopedwith_Os.cif,,4761.254957449721,,,-1.6662658146524723,-1.6086477595643676,-1.6276804885078038,0.05761805508810469,1.9258518416241897,-1.63745678710842,-1.8131,4761.227761,"[-1.470357056842466e-10, -8.909890837711267e-11, -8.909890837711267e-11, -5.728690282821667e-10, -5.056185437296224e-10, -5.728690282821667e-10, 2.762222839638355e-12, 2.762222839638355e-12, -1.0677238210668417e-10, -1.7566114485722474e-09, -1.5438361183671773e-10, -1.5438361183671773e-10, -6.777752198223599e-10, -1.2106794974537218e-09, -6.777752198223599e-10, -6.069383778989373e-10, -6.069383778989373e-10, -9.520679706889896e-10, -7.234381232350302e-10, -3.5190437665632856e-10, -3.5190437665632856e-10, -6.36775088157214e-10, -2.857827205929144e-10, -6.36775088157214e-10, -1.7492006330520314e-10, -1.7492006330520314e-10, -9.168064711332335e-10]",-5.4617533746395725e-09,4782.117596201896,
Fe_dopedwith_Hg.cif,,5096.123258058249,,,-3.468707688172263,-3.5309528267170114,-3.521181922118047,-0.062245138544748446,3.853243468244927,-3.4998302574446374,-1.8030666666666668,5096.096212,"[1.255087678166281e-11, 2.3013315985160837e-11, 2.3013315985160837e-11, 2.45545952557515e-11, 8.871247758656858e-12, 2.45545952557515e-11, 2.2997799050010242e-11, 2.2997799050010242e-11, 1.2574484607547743e-11, 1.2793074484683805e-12, 2.6635903584191375e-11, 2.6635903584191375e-11, 2.954782721749257e-12, 1.6312923930890376e-11, 2.954782721749257e-12, 2.9553662254588255e-12, 2.9553662254588255e-12, 1.6292987058233313e-11, -2.527345006898021e-12, 1.999537930637023e-12, 1.999537930637023e-12, 3.979502270941535e-12, 2.9816648416288005e-11, 3.979502270941535e-12, 1.9914923883422413e-12, 1.9914923883422413e-12, -2.5540818729505367e-12]",1.4625644619323144e-09,4782.117596201896,
Fe_dopedwith_Ru.cif,,4882.049953277338,,,-2.080479855081366,-2.1657937815295085,-2.1498703504282273,-0.0853139264481424,2.5025280443447526,-2.1231368183054373,-1.8141333333333334,4882.022741,"[2.6629317739566398e-08, 1.1161134682771864e-08, 1.1161134682771864e-08, 2.3917823404360677e-08, 6.088463236509742e-09, 2.3917823404360677e-08, 1.14733942066479e-08, 1.14733942066479e-08, 2.5904928538414203e-08, -2.32734687573363e-08, 4.546591201608113e-09, 4.546591201608113e-09, 5.2881258432458175e-09, 1.2235263099964307e-08, 5.2881258432458175e-09, 5.2225017616374194e-09, 5.2225017616374194e-09, 1.2985209208643565e-08, -2.401366609819941e-08, 4.517780190056474e-09, 4.517780190056474e-09, -1.1101767905881528e-08, 4.2513465504310656e-08, -1.1101767905881528e-08, 4.459374833385729e-09, 4.459374833385729e-09, -2.331726206016826e-08]",3.95837445026918e-07,4782.117596201896,
Fe_dopedwith_Ti.cif,,4857.093975409708,,,-1.7161337372185796,-1.626305919717477,-1.671074672496819,0.08982781750110269,1.921522791247592,-1.6712198284680282,-1.3108,4857.074313,"[2.755938410059831e-09, 8.644313852165072e-10, 8.644313852165072e-10, 3.5344335103383883e-09, 1.2597294046313094e-09, 3.5344335103383883e-09, 6.422366570238757e-10, 6.422366570238757e-10, 2.566508173925039e-09, 1.4017939749708435e-09, 4.659756614526691e-10, 4.659756614526691e-10, 2.5499436578003046e-10, 2.2977148486013857e-10, 2.5499436578003046e-10, -1.8875811416987197e-12, -1.8875811416987197e-12, 4.811775401888011e-10, -3.541210245857711e-09, 6.779724930115352e-11, 6.779724930115352e-11, -2.1807494145114857e-09, 1.6388985077751213e-11, -2.1807494145114857e-09, -1.324735972840387e-10, -1.324735972840387e-10, -3.0025976857903164e-09]",1.799326796044151e-08,4782.117596201896,
Fe_dopedwith_Mn.cif,,4953.979950389446,,,-2.260891079053088,-2.1734727120188557,-2.12593918190338,0.08741836703423234,2.3862847154263176,-2.2171818955359717,-1.0203333333333333,4953.964645,"[6.818891822057213e-14, 8.380215445034656e-14, 8.380215445034656e-14, 3.5104007893772774e-14, -1.5433914327867467e-14, 3.5104007893772774e-14, 8.160372586471302e-14, 8.160372586471302e-14, 7.624229550770716e-14, 6.13646757988722e-14, 2.057921389982295e-14, 2.057921389982295e-14, -9.02102665355518e-15, -4.943543315371381e-14, -9.02102665355518e-15, -3.5193517220163194e-15, -3.5193517220163194e-15, -8.025266661987075e-14, 3.950661084767328e-14, 1.506354039446534e-14, 1.506354039446534e-14, -4.477473710995743e-14, 3.1496749425985965e-14, -4.477473710995743e-14, 2.0081813412583713e-14, 2.0081813412583713e-14, 4.343180851835882e-14]",8.889352619109537e-13,4782.117596201896,
Fe_dopedwith_Cr.cif,,4666.0599422541045,,,-0.8108469932488834,-0.7747656589797159,-0.7843008644610017,0.03608133426916749,0.954104124991962,-0.7928063261142997,-1.8693333333333333,4666.031902,"[1.2020471637638345e-08, 1.1072256691054333e-08, 1.1072256691054333e-08, 5.598641436887397e-09, 1.9924128862532354e-09, 5.598641436887397e-09, 1.1072419160015452e-08, 1.1072419160015452e-08, 1.202046738964552e-08, -4.345900384832823e-09, -6.187794273358559e-09, -6.187794273358559e-09, -3.21281865954281e-09, -5.44836835772281e-09, -3.21281865954281e-09, -3.212795403696354e-09, -3.212795403696354e-09, -5.4483327827138124e-09, -1.3723791659141252e-08, -1.3854730267743386e-08, -1.3854730267743386e-08, -8.769844825346528e-09, -3.4767935361632796e-08, -8.769844825346528e-09, -1.3854865651334992e-08, -1.3854865651334992e-08, -1.3723792589331264e-08]",-1.8677091921601264e-07,4782.117596201896,
Fe_dopedwith_V.cif,,4825.681831245785,,,-2.101235390808655,-2.046839523678502,-2.0214797252840837,0.054395867130152986,2.261530966637231,-2.0740374572435787,-1.7344000000000002,4825.655815,"[6.875600461779904e-11, 4.301648861607401e-11, 4.301648861607401e-11, 9.551238523133433e-11, 7.522629158545804e-12, 9.551238523133433e-11, 4.302518462852411e-11, 4.302518462852411e-11, 6.87446677503439e-11, 6.311418657585931e-11, 9.314540831806406e-11, 9.314540831806406e-11, 4.785237860056523e-11, 7.57639262139749e-11, 4.785237860056523e-11, 4.786389364068731e-11, 4.786389364068731e-11, 7.579959316481634e-11, 7.004229424057462e-11, 1.3134237373978314e-11, 1.3134237373978314e-11, 1.5252110519626976e-11, 1.3553690287424286e-10, 1.5252110519626976e-11, 1.3142557367081477e-11, 1.3142557367081477e-11, 7.001316186835196e-11]",4.548178162793124e-09,4782.117596201896,
Fe_dopedwith_Co.cif,,4862.469216539445,,,-1.0662377309486586,-1.0852060361722746,-1.038511571403012,-0.018968305223616033,1.2249895961034374,-1.0757218835604667,-2.0845666666666665,4862.437948,"[-1.6253451663662558e-08, -1.545559829032303e-08, -1.545559829032303e-08, -1.6816339177380176e-08, -8.026577825183574e-09, -1.6816339177380176e-08, -1.8797675309871813e-08, -1.8797675309871813e-08, -2.1858934959142102e-08, 7.660374956393736e-09, 1.9040000763759646e-08, 1.9040000763759646e-08, 1.1143520071708432e-08, 2.469159023533898e-08, 1.1143520071708432e-08, 2.2633420651835644e-08, 2.2633420651835644e-08, 2.9481615130217907e-08, 5.9520194128748083e-08, 4.2486961230035606e-08, 4.2486961230035606e-08, 4.6651592006400785e-08, 8.841743341609723e-09, 4.6651592006400785e-08, 4.71556990028799e-08, 4.71556990028799e-08, 5.187751699483343e-08]",1.0383877899050926e-06,4782.117596201896,
Fe_dopedwith_Pd.cif,,4918.974345172082,,,-2.0074472737186984,-2.0411757536520505,-2.0299367261539323,-0.03372847993335215,2.330698267057885,-2.024311513685374,-1.6749333333333334,4918.949221,"[-1.4775350670708709e-07, -1.1454880473778407e-07, -1.1454880473778407e-07, -1.0322783997720714e-07, 2.5201022873282014e-08, -1.0322783997720714e-07, -1.084789434038644e-07, -1.084789434038644e-07, -1.3869859403454282e-07, 1.737851979968967e-07, 2.1615198600118883e-07, 2.1615198600118883e-07, -9.332287169573689e-09, 6.076932058423011e-08, -9.332287169573689e-09, -6.1309624601533004e-09, -6.1309624601533004e-09, 5.249013694470371e-08, 3.279028260821682e-08, 5.360463124433902e-08, 5.360463124433902e-08, 1.4012238212543054e-07, 3.059562968005346e-07, 1.4012238212543054e-07, 4.9653571189237346e-08, 4.9653571189237346e-08, 4.237526676889092e-08]",2.4657304153850034e-06,4782.117596201896,
Fe_dopedwith_Ni.cif,,5578.570788378706,,,-3.321346133520025,-3.281886840862511,-3.3095272758570604,0.03945929265751413,3.6311212198139082,-3.301616487191268,-1.9078666666666668,5578.542171,"[-3.573190559775625e-14, -2.9915758971544323e-14, -2.9915758971544323e-14, -3.858088494591729e-14, 1.4156253776993503e-14, -3.858088494591729e-14, -2.655766459158846e-14, -2.655766459158846e-14, -3.2450885451481493e-14, 1.6150367425264018e-14, -2.5993922443907748e-14, -2.5993922443907748e-14, 1.5659358240174827e-15, -2.7450200090225484e-14, 1.5659358240174827e-15, -1.3059294789854565e-14, -1.3059294789854565e-14, -1.1623992602334968e-14, -1.1157073961663879e-15, -3.748420494030472e-14, -3.7531246091055086e-14, -1.1473489419913421e-14, -5.3610961094535364e-14, -1.1473489419913421e-14, -4.002706477070889e-14, -3.998002361995852e-14, 8.368552037530194e-15]",-1.7344441326793384e-12,4782.117596201896,
