CIF file,Atom CIF file,Total Energy (eV),Dopant Energy (eV),CO2 Slab Energy,HOMO (eV),LUMO (eV),Fermi Level (eV),Band Gap (eV),Work Function (eV),Chemical Potential (eV),Entropy (eV/K),Free Energy (eV),Local Magnetic Moments,Total Magnetic Moment,Pristine Energy (eV),Fe Atom Energy (eV)
Fe_dopedwith_Os.cif,Os_atom.cif,4776.692804242411,215.4504974356624,4821.424686664516,4.574782644497399,4.625014976557894,4.614313397228909,0.05023233206049493,-4.12545799887615,4.599898810527646,-1.8019333333333334,4776.665775,"[-3.4593121959588505e-14, -8.015531613626661e-14, -8.015531613626661e-14, -5.841337197773393e-14, -2.6142673084823428e-14, -5.841337197773393e-14, -4.781216670752706e-14, -4.781216670752706e-14, -9.583451852197539e-14, 2.6035274051016816e-14, 6.559212154965958e-14, 6.559212154965958e-14, 6.808773986340177e-14, 2.0998542074616062e-14, 6.808773986340177e-14, 4.952436609684921e-14, 4.952436609684921e-14, 3.052782919921004e-14, -2.414802043923921e-14, -1.1198101801367129e-14, -1.1198101801367129e-14, -2.1749260037662968e-14, 8.304019374517723e-15, -2.1749260037662968e-14, -9.375843993891933e-15, -9.375843993891933e-15, -7.320964271108568e-14]",-6.990671710770543e-13,4784.643142736352,168.49391331499123
Fe_dopedwith_Hg.cif,Hg_atom.cif,5109.424861833244,601.399915090927,5144.016930079143,3.94880219376511,4.060589901347283,4.002595376288027,0.11178770758217338,-3.5589479439019245,4.004696047556196,-0.8845000000000001,5109.411595,"[-1.1039342382405674e-14, -5.08747590182889e-15, -5.08747590182889e-15, -6.998310098710567e-15, 1.0030869896106592e-14, -6.998310098710567e-15, -2.3520083631432924e-15, -2.3520083631432924e-15, -1.3047585570292053e-14, 5.1829429246863765e-15, -2.5660669815752316e-14, -2.5660669815752316e-14, -8.68528225772305e-16, -4.358669567383021e-14, -8.68528225772305e-16, -2.2296736424525753e-14, -2.2296736424525753e-14, 1.0268234221142338e-14, 2.0877298698851856e-14, 1.0076262734447109e-14, 1.0076262734447109e-14, 1.3966435237773942e-14, 2.378986053936709e-14, 1.3966435237773942e-14, 4.190022645369368e-15, 4.190022645369368e-15, 2.4789752975162735e-14]",-6.63859623839282e-14,4784.643142736352,168.49391331499123
Fe_dopedwith_Ru.cif,Ru_atom.cif,4896.644755730008,354.2647064959082,4939.684831525118,4.498092182194086,4.497742641165815,4.49904589866898,-0.0003495410282710054,-4.233867592721195,4.497917411679951,-1.617,4896.620501,"[-1.8974980903346313e-14, -7.450785770127459e-15, -7.450785770127459e-15, -1.8114478264583988e-14, -3.085026801943972e-14, -1.8114478264583988e-14, -2.007622862984578e-14, -2.007622862984578e-14, -2.7238625457914268e-14, -2.4094272810507957e-14, -1.2198845770100258e-15, -1.2198845770100258e-15, -1.6235113120863773e-14, -3.82827546269092e-15, -1.6235113120863773e-14, -9.684629405458115e-15, -9.684629405458115e-15, -2.353678077935643e-14, 2.5034571021965674e-16, 2.1311048687071946e-14, 2.1311048687071946e-14, 8.711927084213909e-15, 8.42311913315054e-16, 8.711927084213909e-15, 3.3179319887153778e-15, 3.3179319887153778e-15, 2.7278640109191738e-14]",-1.1843211748648226e-13,4784.643142736352,168.49391331499123
Fe_dopedwith_Ti.cif,Ti_atom.cif,4871.971732800006,294.4086292823467,4895.812332964933,4.342826702934145,4.484857475839687,4.420204001845288,0.14203077290554145,-3.8900432608951583,4.413842089386916,-0.7482333333333334,4871.960509,"[4.074593311730742e-15, -3.94079650837145e-15, -3.94079650837145e-15, -2.733434553788915e-14, -9.715481259963903e-15, -2.733434553788915e-14, 5.016605291410226e-14, 5.016605291410226e-14, -1.936593207314799e-15, 7.91183039758453e-15, -3.017699660811093e-14, -3.017699660811093e-14, -3.476063110390149e-14, -9.37182927366068e-15, -3.476063110390149e-14, -2.1945909460293272e-14, -2.1945909460293272e-14, -3.3977792966805734e-14, 2.4185294300510245e-14, -3.5112191364395375e-15, -3.5112191364395375e-15, -6.002187676179145e-16, 1.4777171377086673e-14, -6.002187676179145e-16, 3.142887378538681e-14, 3.142887378538681e-14, -2.7828616708407973e-14]",-4.566806088548502e-13,4784.643142736352,168.49391331499123
Fe_dopedwith_Mn.cif,Mn_atom.cif,4969.9095358360855,398.0387213342374,4983.871609464579,3.913240584083908,4.222903997428557,4.252440404338337,0.3096634133446492,-3.6784592060234385,4.068072290756232,-1.4195333333333333,4969.888243,"[5.686344947949819e-15, -1.47188100136856e-13, -1.47188100136856e-13, 1.1710194159040332e-13, 1.5598541254408963e-13, 1.1710194159040332e-13, 3.6049356906290554e-14, 3.6049356906290554e-14, -2.3887562978005056e-13, -9.276737020814096e-14, 1.0110736075586507e-14, 1.0110736075586507e-14, -1.2231816402188205e-13, 2.105422788541128e-13, -1.2231816402188205e-13, 4.213830148840227e-14, 4.213830148840227e-14, 1.9090283381735687e-13, 8.177966879988228e-14, -1.4247935894759306e-13, -1.4247935894759306e-13, -4.6644520188108323e-14, -2.601354034596145e-14, -4.6644520188108323e-14, -1.5358757334558962e-13, -1.5358757334558962e-13, -9.153639304704405e-13]",-1.078087256455938e-12,4784.643142736352,168.49391331499123
Fe_dopedwith_Cr.cif,Cr_atom.cif,4676.531588253193,68.10896092229405,4704.695808731975,5.0219506497686615,4.9419477989763845,4.975510764242673,-0.08000285079227698,-4.458174418543376,4.9819492243725225,-1.4963666666666666,4676.509143,"[-2.5292518738099965e-14, -8.135235546183376e-14, -8.135235546183376e-14, -9.217396764235414e-14, -3.1048016988647864e-14, -9.217396764235414e-14, -3.9548535061717945e-14, -3.9548535061717945e-14, -1.682058995634113e-13, -4.854980107388808e-14, -4.0612703635132276e-14, -4.0612703635132276e-14, -3.226960351821646e-14, -6.787047603312766e-14, -3.226960351821646e-14, -3.9261941700480526e-14, -3.9261941700480526e-14, -5.777867180065579e-14, -4.979888815118695e-14, -1.260260809685855e-14, -1.260260809685855e-14, -1.2158707292485189e-14, -6.688220932107765e-14, -1.2158707292485189e-14, -5.607289013557605e-15, -5.607289013557605e-15, -5.167359582932969e-15]",-2.3222663992190105e-12,4784.643142736352,168.49391331499123
Fe_dopedwith_V.cif,V_atom.cif,4840.676071049881,266.8329098068161,4879.529915793276,4.109098320599059,4.232429618165056,4.317077948707394,0.12333129756599703,-3.7815076323086347,4.170763969382057,-0.4848,4840.668799,"[4.0008239867971764e-08, -1.1705532628701846e-08, -1.1705532628701846e-08, 2.067668289902087e-08, 9.815468864775464e-09, 2.067668289902087e-08, -6.968836487086616e-10, -6.968836487086616e-10, 2.2922812893768214e-08, -8.503928977001332e-09, 9.127575122472305e-09, 9.127575122472305e-09, 1.5658114292621617e-08, 1.4356573839988216e-08, 1.5658114292621617e-08, 1.6449426390758997e-08, 1.6449426390758997e-08, -1.350317698229317e-08, 2.27548783396608e-08, 2.2064918937899406e-08, 2.2064918937899406e-08, 8.043693522825428e-10, 4.738804635686309e-08, 8.043693522825428e-10, 4.9903264763441064e-08, 4.9903264763441064e-08, -1.033864888099082e-07]",-3.944944476398562e-09,4784.643142736352,168.49391331499123
Fe_dopedwith_Co.cif,Co_atom.cif,4865.071000141024,254.24732906772087,4867.578228580221,4.826858350478949,4.863922383141162,4.8716426726631745,0.037064032662213364,-4.306124276275479,4.845390366810055,-2.5422000000000002,4865.032867,"[2.3922312115469234e-13, 2.840500569761966e-13, 2.840500569761966e-13, 2.164673913299856e-13, 3.517404086957785e-13, 2.164673913299856e-13, -9.898144191776389e-14, -9.898144191776389e-14, 7.011590572809961e-14, -4.72840535479543e-13, -4.9926812299364e-13, -4.9926812299364e-13, -3.593078244400808e-13, -4.1051377052388164e-13, -3.593078244400808e-13, -3.2827772739104976e-13, -3.2827772739104976e-13, -2.702655366075301e-13, 1.9435248283475703e-13, 2.6319691242941946e-13, 2.6319691242941946e-13, 1.6990964294682098e-13, 1.9944214137741036e-13, 1.6990964294682098e-13, 8.865643470930891e-14, 8.865643470930891e-14, 1.2309220284592302e-13]",-2.560840024165162e-12,4784.643142736352,168.49391331499123
Fe_dopedwith_Pd.cif,Pd_atom.cif,4926.050916963528,368.18262957286004,4956.305602483167,4.861863385734079,4.813441278431607,4.835418076686483,-0.048422107302472206,-4.395439666163467,4.837652332082843,-1.4127666666666667,4926.029725,"[5.327105136264784e-14, 3.3285390962517273e-14, 3.3285390962517273e-14, 3.639355813825383e-14, 4.1624982008253715e-14, 3.639355813825383e-14, 4.360747000926642e-14, 4.360747000926642e-14, 1.408034815975188e-15, -7.296434139904819e-15, -4.406622927851355e-15, -4.406622927851355e-15, 3.3208251113568404e-15, 1.5679546543344043e-14, 3.3208251113568404e-15, 4.531066455804683e-15, 4.531066455804683e-15, 6.86347224162905e-15, -2.7335812947468544e-14, 9.352591545711583e-15, 9.352591545711583e-15, -3.555038735270847e-15, -5.810120345493567e-15, -3.555038735270847e-15, 6.403494775689038e-15, 6.403494775689038e-15, 2.2265310363042183e-14]",1.0052819117291634e-12,4784.643142736352,168.49391331499123
Fe_dopedwith_Ni.cif,Ni_atom.cif,5592.858532820904,1060.2859718918676,5621.7370808823125,3.8724694798840957,3.936944272739197,3.9133622666721624,0.06447479285510127,-3.3509909935106053,3.9047068763116464,-1.7509666666666668,5592.832268,"[1.8635369857411827e-14, 4.3037938643745595e-16, 4.3037938643745595e-16, 1.3883846744122402e-14, 3.812850486589603e-15, 1.3883846744122402e-14, 1.2899623199104519e-14, 1.2899623199104519e-14, 4.5726804841512605e-14, -2.767560915104807e-15, 1.3732339422066693e-14, 1.3732339422066693e-14, 4.213157671400565e-14, 1.7221271740581756e-14, 4.213157671400565e-14, 1.3187095095738486e-14, 1.3187095095738486e-14, 4.107019261743825e-14, -9.690258331849235e-15, 2.5125963225585722e-15, 2.5125963225585722e-15, -5.589555524144992e-15, 1.2245631345752584e-14, -5.589555524144992e-15, -2.8194994701451508e-14, -2.8194994701451508e-14, 4.1318079307014825e-14]",4.3709905218538385e-13,4784.643142736352,168.49391331499123
